Protein_Name,Protein_Labels,Source,Predicted results,
A6MM93,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
A6MMA7,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
A6MMA9,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
A6MMB7,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
A6MMB8,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
A6MMC1,membrane,Manual assertion|HAMAP-Rule:MF_00482,membrane,
A6MMC5,membrane,Manual assertion|HAMAP-Rule:MF_01357,membrane,
A6MMC6,membrane,Manual assertion|HAMAP-Rule:MF_01356,membrane,
A6MMC7,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
A6MMC9,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
A6MMH1,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
A6MMH3,membrane,Manual assertion|HAMAP-Rule:MF_01351,membrane,
A6MMH4,membrane,By Similarity,membrane,
A6MMH5,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
A6MMH6,membrane,Manual assertion|HAMAP-Rule:MF_01303,membrane,
A6MMI0,membrane,By Similarity,membrane,
A6MMJ2,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
A6MMJ4,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
A6MMK2,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
A6MMK3,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
A6MMK6,membrane,Manual assertion|HAMAP-Rule:MF_00482,membrane,
A6MML0,membrane,Manual assertion|HAMAP-Rule:MF_01357,membrane,
A6MML1,membrane,Manual assertion|HAMAP-Rule:MF_01356,membrane,
A6MML2,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
A6MML4,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
A6MMQ7,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
A6MMQ9,membrane,Manual assertion|HAMAP-Rule:MF_01351,membrane,
A6MMR0,membrane,By Similarity,membrane,
A6MMR1,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
A6MMR2,membrane,Manual assertion|HAMAP-Rule:MF_01303,membrane,
A6MMR6,membrane,By Similarity,membrane,
A6MMS9,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
A6MMT1,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
A6MMT9,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
A6MMU0,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
A6MMU3,membrane,Manual assertion|HAMAP-Rule:MF_00482,membrane,
A6MMU7,membrane,Manual assertion|HAMAP-Rule:MF_01357,membrane,
A6MMU8,membrane,Manual assertion|HAMAP-Rule:MF_01356,membrane,
A6MMU9,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
A6MMV1,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
A6MMZ2,membrane,By Similarity,membrane,
A6MMZ6,membrane,Manual assertion|HAMAP-Rule:MF_01303,membrane,
A6MMZ7,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
A6MMZ8,membrane,By Similarity,membrane,
A6MMZ9,membrane,Manual assertion|HAMAP-Rule:MF_01351,membrane,
A6MN00,membrane,Manual assertion|HAMAP-Rule:MF_01350,membrane,
A6MN01,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
A6MVS6,stroma|membrane,Manual assertion|HAMAP-Rule:MF_01382,membrane,
A6MVS8,membrane,Manual assertion|HAMAP-Rule:MF_01303,membrane,
A6MVW4,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
A6MVW8,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
A6MVY0,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
A6MVZ6,membrane,Manual assertion|HAMAP-Rule:MF_00482,membrane,
A6YG64,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
A6YG66,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
A6YG76,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
A6YG77,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
A6YGB6,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
A6YGC0,membrane,Manual assertion|HAMAP-Rule:MF_01303,membrane,
A7NVJ4,membrane,By Similarity|UniProtKB:Q9CAC5,membrane,
A7Y3A4,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
A7Y3A9,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
A7Y3C4,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
A7Y3C5,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
A7Y3E0,membrane,Manual assertion|HAMAP-Rule:MF_01357,membrane,
A7Y3E1,membrane,Manual assertion|HAMAP-Rule:MF_01356,membrane,
A7Y3E3,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
A7Y3E6,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
A7Y3K5,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
A7Y3K7,membrane,By Similarity,membrane,
A7Y3L3,membrane,Manual assertion|HAMAP-Rule:MF_01303,membrane,
A7Y3L4,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
A7Y3L7,membrane,By Similarity,membrane,
A8HPM2,membrane,Publication,membrane,
A8HPM5,membrane,Publication,membrane,
A8SE59,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
A8SE66,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
A8SE98,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
A8SE99,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
A8SEA6,membrane,Manual assertion|HAMAP-Rule:MF_01357,membrane,
A8SEA7,membrane,Manual assertion|HAMAP-Rule:MF_01356,,
A8SEA8,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
A8SEB0,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
A8SEF0,membrane,By Similarity,membrane,
A8SEF5,membrane,Manual assertion|HAMAP-Rule:MF_01303,membrane,
A8SEF7,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
A8SEF8,membrane,By Similarity,membrane,
A8SEG2,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
A8Y9D4,membrane,By Similarity,membrane,
A8Y9D8,membrane,Manual assertion|HAMAP-Rule:MF_01303,membrane,
A8Y9D9,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
A8Y9E0,membrane,By Similarity,membrane,
A8Y9E3,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
A8Y9F5,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
A8Y9F6,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
A8Y9G5,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
A8Y9G7,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
A8Y9H3,membrane,Manual assertion|HAMAP-Rule:MF_01357,membrane,
A8Y9H4,membrane,Manual assertion|HAMAP-Rule:MF_01356,membrane,
A8Y9H5,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
A8Y9H7,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
A9L981,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
A9L983,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
A9L991,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
A9L992,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
A9L999,membrane,Manual assertion|HAMAP-Rule:MF_01357,membrane,
A9L9A0,membrane,Manual assertion|HAMAP-Rule:MF_01356,membrane,
A9L9A1,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
A9L9A3,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
A9L9E4,membrane,By Similarity,membrane,
A9L9E7,membrane,Manual assertion|HAMAP-Rule:MF_00491,membrane,
A9L9E9,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
A9L9F0,membrane,By Similarity,membrane,
A9L9F3,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
A9LYA4,membrane,Manual assertion|HAMAP-Rule:MF_01357,membrane,
A9LYA5,membrane,Manual assertion|HAMAP-Rule:MF_01356,membrane,
A9LYA6,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
A9LYE7,membrane,By Similarity,membrane,
A9LYF2,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
A9LYF3,membrane,By Similarity,membrane,
A9LYF6,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
A9LYH0,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
A9LYI1,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
A9PJQ8,membrane,By Similarity|UniProtKB:Q9CAC5,membrane,
A9QC36,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
A9QC58,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
A9QC74,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
A9QC80,membrane,By Similarity,membrane,
A9QC82,membrane,Manual assertion|HAMAP-Rule:MF_01356,membrane,
A9QC92,membrane,Manual assertion|HAMAP-Rule:MF_01357,membrane,
A9THA7,membrane,By Similarity|UniProtKB:Q9CAC5,membrane,
B0Z4L0,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
B0Z4L2,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
B0Z4L3,membrane,Manual assertion|HAMAP-Rule:MF_01356,membrane,
B0Z4L4,membrane,Manual assertion|HAMAP-Rule:MF_01357,membrane,
B0Z4M1,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
B0Z4M2,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
B0Z4N0,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
B0Z4N2,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
B0Z4S2,membrane,By Similarity,membrane,
B0Z4S7,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
B0Z4S8,membrane,By Similarity,membrane,
B0Z4T1,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
B0Z4U4,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
B0Z4U6,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
B0Z4U7,membrane,Manual assertion|HAMAP-Rule:MF_01356,membrane,
B0Z4U8,membrane,Manual assertion|HAMAP-Rule:MF_01357,membrane,
B0Z4V5,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
B0Z4V6,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
B0Z4W4,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
B0Z4W6,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
B0Z506,membrane,By Similarity,membrane,
B0Z511,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
B0Z512,membrane,By Similarity,membrane,
B0Z515,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
B0Z528,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
B0Z530,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
B0Z531,membrane,Manual assertion|HAMAP-Rule:MF_01356,membrane,
B0Z532,membrane,Manual assertion|HAMAP-Rule:MF_01357,membrane,
B0Z539,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
B0Z540,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
B0Z548,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
B0Z550,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
B0Z590,membrane,By Similarity,membrane,
B0Z595,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
B0Z596,membrane,By Similarity,membrane,
B0Z599,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
B0Z5B2,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
B0Z5B4,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
B0Z5B5,membrane,Manual assertion|HAMAP-Rule:MF_01356,membrane,
B0Z5B6,membrane,Manual assertion|HAMAP-Rule:MF_01357,membrane,
B0Z5C3,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
B0Z5C4,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
B0Z5D2,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
B0Z5D4,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
B0Z5H4,membrane,By Similarity,membrane,
B0Z5H9,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
B0Z5I0,membrane,By Similarity,membrane,
B0Z5I3,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
B1A920,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
B1A922,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
B1A930,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
B1A931,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
B1A938,membrane,Manual assertion|HAMAP-Rule:MF_01357,,
B1A939,membrane,Manual assertion|HAMAP-Rule:MF_01356,membrane,
B1A940,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
B1A942,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
B1A981,membrane,By Similarity,membrane,
B1A986,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
B1A987,membrane,By Similarity,membrane,
B1A990,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
B1NTP4,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
B1NTR4,membrane,Manual assertion|HAMAP-Rule:MF_00445,membrane,
B1NWD5,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
B1NWD7,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
B1NWE5,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
B1NWE6,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
B1NWF3,membrane,Manual assertion|HAMAP-Rule:MF_01357,membrane,
B1NWF4,membrane,Manual assertion|HAMAP-Rule:MF_01356,membrane,
B1NWF5,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
B1NWF7,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
B1NWJ6,membrane,By Similarity,membrane,
B1NWK1,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
B1NWK2,membrane,By Similarity,membrane,
B1NWK5,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
B1VKF4,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
B1VKF5,membrane,Manual assertion|HAMAP-Rule:MF_01356,membrane,
B1VKF6,membrane,Manual assertion|HAMAP-Rule:MF_01357,membrane,
B1VKG9,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
B1VKH0,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
B1VKH8,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
B1VKI6,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
B1VKI7,membrane,By Similarity,membrane,
B1VKJ0,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
B1VKJ3,membrane,By Similarity,membrane,
B2LMI5,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
B2LMI8,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
B2LMI9,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
B2LMJ6,membrane,Manual assertion|HAMAP-Rule:MF_01357,membrane,
B2LMJ7,membrane,Manual assertion|HAMAP-Rule:MF_01356,membrane,
B2LMJ8,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
B2LMP2,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
B2LMP5,membrane,By Similarity,membrane,
B2LMP6,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
B2LMQ1,membrane,By Similarity,membrane,
B2X1U7,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
B2X1W8,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
B2XT21,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
B2XT86,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
B2XTF7,membrane,Manual assertion|HAMAP-Rule:MF_01458,membrane,
B2XTH7,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
B2XTP2,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
B2XWI8,membrane,By Similarity,membrane,
B2XWJ3,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
B2XWJ4,membrane,By Similarity,membrane,
B2XWJ7,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
B2XWK0,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
B2XWK1,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
B2XWK7,membrane,Manual assertion|HAMAP-Rule:MF_01357,membrane,
B2XWK8,membrane,Manual assertion|HAMAP-Rule:MF_01356,membrane,
B2XWK9,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
B2XWN6,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
B2Y1U5,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
B2Y1U6,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
B2Y1W0,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
B2Y1W2,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
B2Y205,membrane,Manual assertion|HAMAP-Rule:MF_01303,membrane,
B3EWI4,membrane,By Similarity|UniProtKB:P31336,membrane,
B3TN46,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
B3TN54,membrane,Manual assertion|HAMAP-Rule:MF_01357,membrane,
B3TN55,membrane,Manual assertion|HAMAP-Rule:MF_01356,membrane,
B3TN56,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
B3TN96,membrane,By Similarity,membrane,
B3TNA1,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
B3TNA2,membrane,By Similarity,membrane,
B3TNA5,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
B3TNB8,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
B3TNB9,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
B5LML1,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
B5LML3,membrane,Manual assertion|HAMAP-Rule:MF_01357,membrane,
B5LMM0,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
B5LMM1,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
B5LMM9,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
B5LMS0,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
B5LMS3,membrane,By Similarity,membrane,
B5LMS4,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
B5LMS9,membrane,By Similarity,membrane,
B7FA90,membrane,Publication,envelope,
B7T1V0,membrane,Manual assertion|HAMAP-Rule:MF_01458,membrane,
B8AAV3,membrane,By Similarity|UniProtKB:Q5VQK9,membrane,
B8R4B1,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
B8Y2U9,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
C0HM11,membrane,Publication,membrane,
C0HM12,membrane,Publication,membrane,
C0HM13,membrane,Publication,membrane,
C0PEY7,membrane,By Similarity|UniProtKB:B9DHG0,envelope,
C4IZX0,membrane,By Similarity,membrane,
D1J722,membrane,Manual assertion|HAMAP-Rule:MF_01458,membrane,
E5KCJ8,membrane,Publication|PubMed:20807881,membrane,
O03060,membrane,Publication,membrane,
O03062,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
O03064,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
O03066,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
O03067,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
O03068,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
O03069,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
O03074,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
O03075,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
O03079,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
O03080,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
O03081,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
O03085,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
O04089,membrane,Publication,membrane,
O19895,membrane,Manual assertion|HAMAP-Rule:MF_01379,membrane,
O19905,membrane,Manual assertion|HAMAP-Rule:MF_01303,membrane,
O19909,membrane,By Similarity,membrane,
O19911,stroma|membrane,Manual assertion|HAMAP-Rule:MF_01382,membrane,
O19922,membrane,Manual assertion|HAMAP-Rule:MF_01458,membrane,
O20031,membrane,Manual assertion|HAMAP-Rule:MF_00439,membrane,
O20206,membrane,By Similarity,membrane,
O47037,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
O49078,membrane,By Similarity,membrane,
O49843,membrane,By Similarity,membrane,
O63066,membrane,By Similarity,membrane,
O65101,membrane,By Similarity,membrane,
O78426,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
O78427,membrane,Manual assertion|HAMAP-Rule:MF_01383,membrane,
O78441,stroma|membrane,Manual assertion|HAMAP-Rule:MF_01382,membrane,
O78443,membrane,Manual assertion|HAMAP-Rule:MF_01303,membrane,
O78454,membrane,Manual assertion|HAMAP-Rule:MF_01378,membrane,
O78466,membrane,Manual assertion|HAMAP-Rule:MF_00642,membrane,
O78475,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
O78478,membrane,Manual assertion|HAMAP-Rule:MF_01399,membrane,
O78479,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
O78491,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
O78507,membrane,Manual assertion|HAMAP-Rule:MF_00482,membrane,
O78508,membrane,Manual assertion|HAMAP-Rule:MF_00458,membrane,
O78516,membrane,Manual assertion|HAMAP-Rule:MF_01458,membrane,
O96804,membrane,Manual assertion|HAMAP-Rule:MF_01303,membrane,
O98691,membrane,Manual assertion|HAMAP-Rule:MF_01358,membrane,
O98692,membrane,Manual assertion|HAMAP-Rule:MF_01351,membrane,
O98693,membrane,By Similarity,membrane,
O98766,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
P00155,membrane,By Similarity,membrane,
P00165,membrane,Manual assertion|HAMAP-Rule:MF_00633,membrane,
P00166,membrane,Manual assertion|HAMAP-Rule:MF_01344,membrane,
P00825,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
P00826,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
P00827,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
P00828,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
P04658,membrane,By Similarity,membrane,
P04966,membrane,Manual assertion|HAMAP-Rule:MF_00458,membrane,
P04967,membrane,Manual assertion|HAMAP-Rule:MF_00482,membrane,
P05037,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
P05151,membrane,By Similarity,membrane,
P05170,membrane,Manual assertion|HAMAP-Rule:MF_00642,membrane,
P05310,membrane,Manual assertion|HAMAP-Rule:MF_00458,membrane,
P05311,membrane,Manual assertion|HAMAP-Rule:MF_00482,membrane,
P05312,membrane,Manual assertion|HAMAP-Rule:MF_01351,membrane,
P05333,membrane,Manual assertion|HAMAP-Rule:MF_00642,membrane,
P05642,membrane,Manual assertion|HAMAP-Rule:MF_00633,membrane,
P05643,membrane,Manual assertion|HAMAP-Rule:MF_01344,membrane,
P05700,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
P06004,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
P06247,membrane,Manual assertion|HAMAP-Rule:MF_00633,membrane,
P06251,membrane,Manual assertion|HAMAP-Rule:MF_01303,membrane,
P06252,membrane,Manual assertion|HAMAP-Rule:MF_01351,membrane,
P06253,membrane,Manual assertion|HAMAP-Rule:MF_01351,membrane,
P06254,membrane,Manual assertion|HAMAP-Rule:MF_01350,membrane,
P06255,membrane,Manual assertion|HAMAP-Rule:MF_01350,membrane,
P06257,membrane,Manual assertion|HAMAP-Rule:MF_00445,membrane,
P06258,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
P06259,membrane,Manual assertion|HAMAP-Rule:MF_01394,membrane,
P06260,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
P06261,membrane,Manual assertion|HAMAP-Rule:MF_01456,membrane,
P06262,membrane,Publication,membrane,
P06264,membrane,By Similarity,membrane,
P06265,membrane,By Similarity,membrane,
P06266,membrane,By Similarity,membrane,
P06283,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
P06284,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
P06286,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
P06290,membrane,Manual assertion|HAMAP-Rule:MF_01398,membrane,
P06405,membrane,Manual assertion|HAMAP-Rule:MF_00458,membrane,
P06406,membrane,Manual assertion|HAMAP-Rule:MF_00458,membrane,
P06407,membrane,Manual assertion|HAMAP-Rule:MF_00482,membrane,
P06408,membrane,Manual assertion|HAMAP-Rule:MF_00482,membrane,
P06409,membrane,Manual assertion|HAMAP-Rule:MF_01356,membrane,
P06410,membrane,Manual assertion|HAMAP-Rule:MF_01356,membrane,
P06413,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
P06415,membrane,Manual assertion|HAMAP-Rule:MF_00752,membrane,
P06453,membrane,Manual assertion|HAMAP-Rule:MF_01398,membrane,
P06851,membrane,Manual assertion|HAMAP-Rule:MF_00642,membrane,
P07137,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
P08215,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
P09468,membrane,Manual assertion|HAMAP-Rule:MF_00530,membrane,
P0C158,membrane,Manual assertion|HAMAP-Rule:MF_01496,membrane,
P0C2Y5,membrane,Manual assertion|HAMAP-Rule:MF_01393,membrane,
P0C2Y6,membrane,Manual assertion|HAMAP-Rule:MF_01393,membrane,
P0C2Y7,membrane,Manual assertion|HAMAP-Rule:MF_01393,membrane,
P0C2Y8,membrane,Manual assertion|HAMAP-Rule:MF_01398,membrane,
P0C2Y9,membrane,Manual assertion|HAMAP-Rule:MF_01398,membrane,
P0C2Z0,membrane,Manual assertion|HAMAP-Rule:MF_01398,membrane,
P0C2Z4,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
P0C2Z5,membrane,Manual assertion|HAMAP-Rule:MF_01346,membrane,
P0C2Z7,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
P0C2Z8,membrane,Manual assertion|HAMAP-Rule:MF_01347,membrane,
P0C2Z9,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
P0C300,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
P0C301,membrane,Manual assertion|HAMAP-Rule:MF_01396,membrane,
P0C315,membrane,Manual assertion|HAMAP-Rule:MF_00633,membrane,
P0C316,membrane,Manual assertion|HAMAP-Rule:MF_00633,membrane,
P0C317,membrane,Manual assertion|HAMAP-Rule:MF_01344,membrane,
